,zipcode,FIPS,gentrification_score
666,31313,13,0.2950684739588789
667,37643,47,0.6447021392389167
668,75501,48,0.2853187533734483
669,33952,12,0.2738667883852392
670,30338,13,2.958900063552327
671,76513,48,1.8781828261202014
672,31405,13,0.8555050275818731
673,73401,40,1.406880549817413
674,28092,37,0.4565582980674314
675,70122,22,-0.0863379619966634
676,38118,47,0.03677101541395315
677,33702,12,0.6795386364409627
678,34119,12,1.1261601925060158
679,28803,37,0.9115764819973748
680,33130,12,1.2888680333462108
681,30458,13,2.5004474799811574
682,38301,47,1.6483646898670108
683,33010,12,0.550221081718854
684,40272,21,1.1405707553672808
685,78041,48,0.21659763767448897
686,30092,13,1.3601093830114503
687,23060,51,1.1849450788728164
688,30102,13,-0.07052814803875529
689,21244,24,1.1905860107311408
690,32724,12,0.8140745897788608
691,34761,12,0.16251071009542636
692,77009,48,1.2249344939351343
693,22015,51,0.8581148015618948
694,38018,47,0.1608077169812446
695,28625,37,0.17640364886963766
696,33135,12,1.106874078314337
697,40207,21,1.8597175049192258
698,28208,37,0.40735068076893394
699,33707,12,0.764837629921288
700,29209,45,1.1928765590022383
701,30294,13,1.3697268577440078
702,75154,48,
703,23831,51,1.9370913375774967
704,34205,12,-0.0888019384209589
705,37214,47,0.7741908338593676
706,28273,37,1.3528052510320512
707,21014,24,0.19291405391428107
708,33710,12,1.4325875850449887
709,72758,5,0.841304642769924
710,30701,13,0.7082413539367179
711,33881,12,0.9712634580564018
712,21217,24,0.4039373101040795
713,77338,48,0.5164890001139245
714,29063,45,1.4838503357850958
715,30252,13,0.5396471933268375
716,32209,12,0.323721844232232
717,33401,12,1.0171927197504376
718,29605,45,1.0194287922276297
719,33756,12,0.7824080211839605
720,30305,13,2.8517339165323965
721,33140,12,3.970391817366047
722,21060,24,1.1048225483224523
723,20120,51,0.7341691787158534
724,27217,37,1.2337741173382333
725,35226,1,6.340090530962443
726,71360,22,3.0950121741621355
727,21403,24,1.2954796690154509
728,28405,37,0.8865611294053691
729,30033,13,2.3264366061398505
730,75013,48,
731,31406,13,0.6396288666992528
732,28303,37,-9.603643525356983
733,34285,12,0.8913800733480267
734,78744,48,0.6190441261332892
735,38002,47,2.811673170071393
736,32824,12,2.7150252902382204
737,33018,12,1.0927677195508232
738,30269,13,0.7502393583040311
739,23503,51,2.3244286523456497
740,21157,24,0.7555890005818092
741,22980,51,0.108391819333561
742,34108,12,2.1831753670873626
743,31602,13,1611.4202898565986
744,33309,12,0.7281950899528353
745,32114,12,0.6506370526339593
746,30223,13,0.40049912636293183
747,23235,51,1.4421065996701097
748,29461,45,1.6189218027539252
749,72120,5,1.2755223454381037
750,20814,24,1.2513057243734924
751,37363,47,1.939811130412082
752,28348,37,2.3421959625800084
753,78586,48,-0.6577766745394071
754,24112,51,1.435812558187649
755,19709,10,37.689265942914645
756,34110,12,0.9232431370623174
757,71106,22,-10.410887138033349
758,76210,48,
759,31904,13,1.3623420252759588
760,28214,37,0.5333609866220399
761,72143,5,-0.24784833831433023
762,32812,12,0.4383555426622122
763,21784,24,1.130669807356648
764,75069,48,
765,30087,13,0.432633704636
766,34957,12,1.668503135294954
767,27104,37,2.2950484230746464
768,24540,51,0.9487908630033214
769,32250,12,2.7937951316683827
770,33573,12,0.6604665023353273
771,27502,37,1.3981065771059629
772,21042,24,1.9430582940073706
773,34491,12,0.7142442511340173
774,22031,51,0.14500246962007146
775,32503,12,0.7166325535899124
776,34104,12,0.30354073564798933
777,28792,37,0.7891330103793567
778,33884,12,0.6970432934696569
779,30180,13,-0.27883043807962565
780,33462,12,0.9416908098918323
781,28451,37,0.8117996079376897
782,20109,51,0.19770254117929778
783,32084,12,1.6313069929269883
784,32205,12,0.48058926059774126
785,70806,22,1.396201077251836
786,75701,48,2.0148191752011706
787,30046,13,-0.5453718806676472
788,30189,13,1.730076843556742
789,74105,40,1.2207731915252802
790,42071,21,-0.42924893534649705
791,33060,12,0.9826942672303389
792,33029,12,2.5171445049569083
793,75605,48,2.785296079448601
794,42104,21,0.5663275344474137
795,37174,47,1.558773210904063
796,78210,48,0.5687529025327018
797,35244,1,0.06248254586359807
798,23323,51,3.097812173279468
799,37830,47,-0.8101227949273199
800,75038,48,
801,29650,45,0.7562146624298055
802,77381,48,0.3445279745011456
803,40218,21,1.340222336412287
804,34109,12,0.790993468545892
805,37217,47,0.6333416039377803
806,32082,12,2.567161306387244
807,39042,28,1.5991133967293159
808,74014,40,1.2166406403871606
809,20707,24,0.1521844707427216
810,30132,13,0.15914630807446406
811,72204,5,0.7425588863883096
812,76013,48,
813,19901,10,4.899548872180489
814,78729,48,1.3927469511804167
815,76006,48,
816,28677,37,1.061709587254199
817,39120,28,1.0
818,30117,13,0.8175616814319355
819,33131,12,1.1100900357526522
820,29710,45,1.9823476406390155
821,19904,10,29.215338345864573
822,30341,13,0.453242579062909
823,76248,48,
824,35601,1,0.962814152761264
825,33162,12,0.1928843563570739
826,27511,37,0.6393259805510706
827,33071,12,0.8713051959578201
828,32578,12,1.1078567617348
829,33950,12,0.12008005336891257
830,20815,24,3.4142080072018954
831,20817,24,2.747425567576575
832,35209,1,2.9452055390402836
833,20735,24,0.8558677430026455
834,37312,47,0.4733292870397542
835,33764,12,0.3389433596568512
836,20783,24,0.91013663465354
837,34243,12,0.224197838117313
838,33713,12,1.0072940119177367
839,33404,12,1.2386552433434408
840,30329,13,1.8885361891503056
841,32301,12,1.3500990539258302
842,37814,47,0.7180058784273075
843,72762,5,0.2767752964480503
844,20170,51,1.9016844003996571
845,36526,1,1.2313461029884005
846,33169,12,-0.5961946550983919
847,29301,45,0.116588640302381
848,34683,12,-0.6902010106260038
849,30014,13,-0.306766912302769
850,21113,24,0.6336608701273526
851,28052,37,0.5022626348353665
852,37110,47,0.5056463846283501
853,34684,12,0.885427580211254
854,77377,48,0.5750817808635923
855,29841,45,0.028768691009533054
856,70817,22,-0.90902881453509
857,34208,12,0.9730619076621086
858,32541,12,1.4890316434899775
859,27560,37,2.265934048395898
860,30213,13,-1.490250608559154
861,33903,12,0.31444280159266014
862,30161,13,0.14707773784755052
863,72653,5,0.7459334681387902
864,33143,12,0.15253870849458617
865,30342,13,1.7919034668374656
866,23832,51,1.9773605111379122
867,23321,51,-0.4320870439636392
868,33801,12,0.0013791458403356789
869,34287,12,1.2772897159407088
870,72956,5,1.6684873409587444
871,33905,12,0.451678813421193
872,78723,48,0.6865836549928832
873,21742,24,0.19275317160026578
874,75230,48,
875,23229,51,2.0943762075667594
876,39532,28,0.8358948154553658
877,37160,47,1.0833434370377557
878,21136,24,0.8714986424461831
879,32904,12,2.204160950566201
880,39180,28,0.9576285963382699
881,23059,51,0.40928950980330214
882,33709,12,1.270399358004934
883,71270,22,-0.38931297709923607
884,36303,1,0.6885079416663273
885,36532,1,1.859628244361328
886,76132,48,
887,75087,48,
888,21842,24,-0.2650590427383428
889,75077,48,
890,33334,12,0.6061348871804529
891,34759,12,0.8699805148328311
892,28031,37,0.9530000975597106
893,28211,37,1.6064427614446737
894,20746,24,0.589154767152518
895,40502,21,2.0243847485226794
896,21227,24,1.4805481931605153
897,34608,12,0.989423272086471
898,72032,5,-0.010062756243328324
899,31204,13,-1.8409542743538845
